regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,total.destroyed,total.production,trade.value,proddestavg
Verge Vendor,7.30261E+13,98436617573,7.30384E+13,96772229890,2.69879E+11,0,12252406676,2.94836E+11,6.91477E+11,2.00735E+12,2.34529066
Tash-Murkon,1.4428E+14,1.72403E+11,1.3026E+14,1.6937E+11,8.14019E+11,1.40202E+13,0,3.20835E+11,1.88403E+12,2.55755E+12,5.872274041
Providence,5.30777E+13,56013779647,6.39891E+13,56296282347,6.73539E+11,0,1.09114E+13,1.34116E+12,3.71381E+12,3.40438E+12,2.769108732
Essence,3.48137E+14,5.05398E+11,3.40308E+14,4.99156E+11,4.58343E+11,7.8292E+12,0,5.78581E+11,1.90395E+12,4.30133E+12,3.290721792
The Citadel,8.44326E+14,1.08657E+12,8.24249E+14,1.08524E+12,5.87183E+11,2.00774E+13,0,1.64684E+12,1.2087E+13,5.32197E+12,7.33953638
Metropolis,3.21292E+14,3.31103E+11,3.02298E+14,3.28094E+11,7.86694E+11,1.89939E+13,0,7.98865E+11,1.96143E+12,8.51003E+12,2.455272483
Heimatar,1.82517E+14,2.30398E+11,1.78401E+14,2.35963E+11,3.93017E+11,4.11619E+12,0,6.07631E+11,1.4422E+12,1.00773E+13,2.373472627
Lonetrek,5.28046E+14,6.95441E+11,5.42278E+14,7.2349E+11,1.29036E+12,0,1.42318E+13,1.28618E+12,1.34466E+13,1.06409E+13,10.45471269
Sinq Laison,4.01548E+14,5.13967E+11,3.95016E+14,5.13136E+11,7.59207E+11,6.53187E+12,0,9.51625E+11,4.12222E+12,2.14663E+13,4.331765859
Domain,6.03816E+14,7.81204E+11,5.94613E+14,7.74202E+11,1.09647E+12,9.20302E+12,0,1.07376E+12,6.70589E+12,6.56174E+13,6.24526563
The Forge,7.91721E+14,9.87689E+11,7.74423E+14,9.87263E+11,1.35645E+12,1.7298E+13,0,3.1703E+12,2.4818E+13,4.33802E+14,7.828265634
